depth	min	max	median	wmean
140	5681.3	6091.2	5879.6	5885
141	5752.1	6100.5	5906.3	5918.1
142	5801	6113.6	5935.3	5951.6
143	5823.5	6138.1	5961.9	5984.5
144	5840.9	6194.7	6001.2	6017
145	5856	6283.2	6040.7	6049.7
146	5878.3	6299.2	6062.2	6069.7
147	5892.8	6319.7	6083.5	6090.1
148	5905.9	6344	6104.4	6110.2
149	5913.1	6379.3	6121.2	6129.7
150	5921.9	6422.6	6135.9	6149
151	5941.4	6436.6	6156.1	6167.6
152	5954.9	6453	6176.6	6186.3
153	5963.7	6477.4	6196	6205
154	5971.8	6506.8	6215	6223.7
155	5976.3	6534.9	6232.2	6242.2
156	6004.9	6545.9	6251.7	6261
157	6023.5	6557.4	6271.8	6279.8
158	6036.2	6575.7	6291.8	6298.8
159	6048.6	6597.9	6312.1	6317.6
160	6056.6	6628.8	6329.9	6335.7
161	6085.2	6637.1	6351.7	6356.9
162	6108.3	6648	6374.8	6377.9
163	6123	6660	6399	6398.9
164	6139.5	6676.3	6422.3	6420.1
165	6150.8	6702.5	6444.2	6440.8
166	6182.4	6709.2	6463.7	6460.8
167	6212.6	6712.8	6483.4	6480.3
168	6232.2	6722.5	6505.4	6499.9
169	6246.2	6737.7	6528.9	6519.5
170	6258.4	6759	6549.6	6539.4
171	6295.6	6764.8	6567.3	6558.8
172	6336.1	6772.7	6585.8	6578.6
173	6362.1	6780.9	6604.3	6598.4
174	6382.4	6793	6627	6618.7
175	6401.7	6810.6	6648.8	6638.4
176	6452.3	6815.7	6662.7	6657.3
177	6498.8	6822.2	6678.1	6676.7
178	6540.2	6830.5	6696	6695.8
179	6571.2	6843.2	6714.9	6715
180	6593.5	6864.4	6734.6	6734.5
181	6602.4	6874.2	6745	6745.3
182	6613.5	6888.2	6755.5	6756.6
183	6618.2	6905.5	6764.8	6766.9
184	6622.2	6928.3	6774.2	6777.3
185	6622.8	6954.3	6784.1	6787.4
186	6637	6964.3	6794.7	6798.4
187	6645.4	6976.9	6805	6809.4
188	6652.8	6995.1	6815.5	6820.3
189	6660.5	7014.4	6826.1	6831.2
190	6665.6	7037.7	6836	6842.3
191	6679.3	7048.3	6846	6852.9
192	6688.5	7059.5	6856.9	6863.8
193	6695.9	7074	6867.8	6874.5
194	6702	7088.2	6877.4	6884.9
195	6707.2	7105.7	6887.6	6895
196	6723.5	7112.6	6899.5	6905.9
197	6734.8	7121.2	6910.8	6916.9
198	6741.8	7130.4	6922.1	6927.8
199	6751.2	7143.8	6932.8	6938.8
200	6756.9	7160.8	6943.6	6949.8
201	6768	7172.6	6953.6	6960.4
202	6779.1	7178.4	6964	6971.2
203	6786.3	7188.8	6975.7	6981.8
204	6794.3	7202.5	6987.1	6992.6
205	6799	7220.6	6997	7003.5
206	6814.7	7225.9	7007.6	7013.8
207	6830.5	7233.6	7017	7024
208	6839.5	7239.7	7027.9	7034.7
209	6849.3	7251.2	7039.5	7045.2
210	6856.6	7263.9	7050.5	7055.5
211	6866.8	7268	7059.7	7065.5
212	6876.1	7272.8	7069.9	7075.6
213	6883.9	7281.5	7079.7	7085.7
214	6894.2	7291.4	7089.7	7095.7
215	6900.4	7304.9	7099.6	7105.9
216	6917.4	7310.8	7109.5	7116.2
217	6928	7317.9	7119.8	7126.4
218	6939.3	7324.6	7130.2	7136.6
219	6950.4	7336.3	7140.1	7146.9
