depth	min	max	median	wmean
0	-98.6	10.6	-50.5	-48.2
1	-94.4	15.8	-45.8	-43.3
2	-92.1	22.5	-40.8	-38.5
3	-90.3	34.4	-36.3	-33.6
4	-89.1	47.1	-32.4	-28.8
5	-87.7	62.7	-29.4	-24.3
6	-83.5	66.7	-24.7	-19.5
7	-80.6	69.6	-19.4	-14.7
8	-78.1	75.8	-14.6	-10
9	-76.8	83.9	-9.9	-5.2
10	-76	93.4	-6	-0.7
11	-69.7	97.3	-0.9	4
12	-65.9	100.2	4.1	8.6
13	-62.7	106.1	9.5	13.4
14	-60.9	114.8	14.3	18.1
15	-59.5	124.4	19.3	22.9
16	-56	127.3	22.7	26.3
16.4999	-55.6	130	23.8	27.5
16.5	-49.7	611.5	127.9	208.6
17	-49.5	612.1	140.7	214.3
18	-49.5	614.8	172.9	225.4
19	-49.5	618.1	210.2	236.4
20	-49.5	623	248.6	247.4
21	-14.3	627	285.5	277.3
22	3.5	632.8	322.8	307.1
23	17.6	637.8	359.8	336.7
24	32.9	643.7	398.9	366.2
25	41.4	654.7	444.1	397.1
26	172.9	660.3	479.8	447.4
27	298.3	666	516.4	497.7
28	419.4	673.8	553.6	548.9
29	526.7	687.2	588.8	600.4
30	562.4	769.7	645.7	651
31	573.3	776.4	654	659.9
32	582.7	784	663.3	668.7
33	589.8	793.1	673.3	677.6
34	595.1	806	682.9	686.5
35	599	821.1	691.3	695.2
36	611.9	828.4	699.3	704.7
37	620.2	839	707.8	714.3
38	627.7	853.5	716.6	723.9
39	632.8	872.3	725.5	733.4
40	638.8	892.7	735.2	743.1
41	671	899.7	745.6	756
42	691.8	909.6	756.8	769.2
43	702.3	929.1	769.6	782.4
44	707.4	957.6	781.5	795.2
45	710.3	992.7	792.6	808
46	720.6	1005.4	808	821.9
47	725.7	1019.4	821.8	835.8
48	729.6	1036.3	834.1	849.7
49	732.8	1058.6	845.9	863.4
50	734.8	1087	857.6	877.3
51	754.1	1104.6	875.6	895.3
52	768.6	1128.2	896.7	913.4
53	779.5	1149.6	916.6	931.6
54	788.8	1173.8	934.4	949.7
55	796	1193.9	951.3	967.3
56	969.9	1288.6	1091.8	1104.4
57	1130.3	1383.8	1228.2	1242.3
58	1257.8	1490.9	1379.2	1380.6
59	1361.8	1625.2	1521.3	1518.3
60	1455.9	1779	1656.7	1655.1
61	1580.5	1845.4	1739.8	1738.3
62	1691.7	1933.1	1822.1	1820.8
63	1787.7	2038.4	1901.5	1904.2
64	1852.5	2170.1	1983.6	1988.1
65	1907	2302.9	2066.7	2071.5
66	1939.6	2324.1	2109.7	2111.7
67	1959.1	2367.8	2150.2	2151.6
68	1972.9	2437.5	2187.7	2191.6
69	1982.9	2524.4	2222.6	2231.1
70	1988.4	2619.9	2258.2	2270.5
71	2028	2645.6	2307.4	2315.2
72	2057	2671.2	2359.1	2360.3
73	2071.2	2708.6	2405.2	2405
74	2085.8	2765.4	2447.2	2450.2
75	2101	2844.4	2487.6	2494.6
76	2196.2	2852.5	2535	2544.3
77	2281	2865.2	2585.5	2594.4
78	2350.7	2879.8	2650	2644.6
79	2396.1	2905.9	2727.5	2694.6
80	2422.6	2976.5	2778.1	2744.4
81	2468.4	3012.6	2807	2778.6
82	2499.2	3077.9	2840.3	2812.7
83	2522.4	3156	2864.8	2845.5
84	2540.1	3252	2885.7	2878.1
85	2558.2	3355.3	2903.6	2910.7
86	2655.3	3449.5	3009.1	3020.8
87	2695.6	3598.5	3125	3130
88	2713.1	3798.6	3238.2	3239.5
89	2737.7	4024.1	3356.3	3349
90	2756.4	4248.8	3460	3457.1
91	2993.8	4267.5	3589.9	3585.3
92	3208.8	4288.4	3712.3	3713.2
93	3375.9	4318.1	3836	3841.8
94	3505.7	4374.4	3977.4	3970.5
95	3597	4462.3	4113.7	4097.9
96	3845.8	4481.9	4193.5	4194.6
97	4046.5	4519.4	4288	4291.7
98	4117.7	4604.9	4395	4391.1
99	4142.8	4768.8	4486.3	4489.5
100	4165.1	4983.9	4548.7	4586.7
101	4322.3	4990.3	4632.1	4664.2
102	4478.1	5002.1	4718	4741.9
103	4612.2	5014	4808.1	4820.6
104	4709.3	5032.6	4900.6	4899.1
105	4776.2	5078.5	4978.5	4977.4
106	4830.6	5082.4	4992.6	4991.7
107	4882.4	5086.8	5007.8	5006.5
108	4931.3	5102.1	5022.1	5021.9
109	4965.7	5128.8	5035.9	5037.3
110	4974.4	5153.5	5049.3	5052.7
111	4986.2	5161.1	5062.7	5066.1
112	4994.1	5175.3	5076.5	5079.5
113	4998.8	5198.9	5087.7	5092.9
114	5002.6	5232.5	5099	5106.6
115	5006.1	5271.4	5110.2	5120.5
116	5034.8	5289.5	5138.4	5146.7
117	5049.3	5308.4	5170.9	5173
118	5060	5331	5201.4	5199.3
119	5069.6	5363.2	5227.4	5225.7
120	5075.9	5409.5	5250.6	5251.5
121	5131.1	5421.2	5300.5	5293.6
122	5157.3	5446.1	5353.5	5336.1
123	5178.3	5483.1	5403.3	5378.6
124	5195.1	5526.1	5445.7	5420.5
125	5209	5585.3	5489.8	5462.5
126	5274.8	5594.1	5508.7	5485.3
127	5336.7	5618.6	5527.1	5509
128	5387	5651.7	5544.9	5532.8
129	5427	5686.4	5564.3	5556.3
130	5448.9	5727.2	5583.9	5579.4
131	5486.7	5735	5604.6	5602.6
132	5522.7	5742.4	5623.1	5625.9
133	5556.1	5757.1	5643.6	5649.6
134	5583.6	5786.3	5667	5673
135	5598.5	5829.2	5689.6	5696.6
136	5631.4	5853.2	5732.3	5734.4
137	5649.8	5893.9	5771.3	5772.2
138	5663.9	5951.6	5809.4	5810.2
139	5673.7	6017.6	5845.4	5847.7
