sitenumber,sitename,depth,cal age,beech,birch,chestnut,hemlock,hickory,maple,oak,pine,spruce,other
15,Otter,116.5,362.9775,40,103,15,58,5,8,169,118,8,24
15,Otter,118.5,389.0475,60,120,19,73,9,8,152,104,7,32
15,Otter,121.5,428.1525,79,166,4,100,23,23,236,158,12,36
15,Otter,123.5,454.2225,92,118,4,120,13,15,184,136,11,25
15,Otter,126.5,493.3275,72,113,6,93,15,16,139,134,7,20
15,Otter,129.5,532.4325,65,115,1,88,11,13,134,117,8,27
15,Otter,132.5,571.5375,63,122,7,88,15,8,142,118,14,25
15,Otter,134.5,597.6075,48,96,5,85,12,8,139,76,9,26
15,Otter,136.5,629.495,56,115,4,77,15,7,151,88,13,29
15,Otter,138.5,678.755,56,117,2,95,11,12,120,93,8,12
15,Otter,140.5,728.015,50,108,6,75,9,20,139,63,10,26
15,Otter,142.5,777.275,54,114,13,86,10,14,160,49,3,35
15,Otter,144.5,826.535,49,125,10,80,9,12,148,59,11,29
15,Otter,148,912.74,69,92,7,82,13,13,132,69,8.5,21
15,Otter,151.5,998.945,66,131,8,76,9,11,147,87,5,21
15,Otter,152,1011.26,72,129,4,51,6,14,129,93.5,4,25
15,Otter,153.5,1048.205,61,123,13,82,10,15,132,100,9,33
15,Otter,156,1109.78,81,96,4,62,15,15,167,67,3.5,26
15,Otter,157.5,1146.725,71,128,8,81,10,15,151,97,8,30
15,Otter,160,1208.3,98,99,4,102,3,15,110,96,5,17
15,Otter,164,1306.82,97,81,6,94,19,10,108,81,3.5,22
15,Otter,168,1405.34,89,91,9,98,7,9,133,74.5,7.5,30
15,Otter,172,1503.86,97,96,3,79,5,13,106,75.5,2.5,20
15,Otter,176,1602.38,96,87,5,90,5,6,112,74,2.5,20
15,Otter,180,1700.9,77,92,4,66,10,7,110,104,6,24
15,Otter,184,1799.42,85,89,4,77,8,8,114,103,6,22
15,Otter,188,1897.94,70,73,5,68,9,7,119,106.5,9,26
15,Otter,192,1996.46,102,95,0,85,12,7,99,82,7,29
15,Otter,196,2094.98,74,99,8,65,9,12,92,105.5,4,16
15,Otter,200,2193.5,75,82,4,91,9,8,102,112,8,21
15,Otter,204,2292.02,66,70,4,82,8,5,104,132.5,3,15
16,Pecker,1,-44.9395,52,111,8,53,6,19,141,105,0,24
16,Pecker,3,-40.8185,54,154,17,39,8,13,144,79,2,31
16,Pecker,5,-36.6975,50,168,22,42,5,19,107,82,3,23
16,Pecker,7,-32.5765,52,172,37,41,6,20,79,81,4,30
16,Pecker,9,-28.4555,37,174,35,32,4,25,90,69,8,26
16,Pecker,11,-24.3345,72,155,25,40,10,15,77,85,3,32
16,Pecker,13,-20.2135,65,145,33,49,3,13,105,80,10,24
16,Pecker,15,-16.0925,65,150,33,52,1,14,67,79,19,17
16,Pecker,17,-11.9715,58,150,34,53,3,16,92,86,5,18
16,Pecker,19,-7.8505,58,151,55,45,2,15,68,69,7,29
16,Pecker,21,-3.7295,60,162,46,51,3,15,77,76,13,21
16,Pecker,23,0.3915,62,156,32,51,3,13,73,92,11,22
16,Pecker,25,4.5125,53,176,43,63,4,12,65,69,4,15
16,Pecker,27,8.6335,57,151,63,42,0,18,76,88,5,20
16,Pecker,29,12.7545,56,148,53,55,2,16,65,72,4,35
16,Pecker,31,16.8755,65,147,59,41,3,18,76,56,7,21
16,Pecker,33,20.9965,54,149,56,60,2,10,98,83,3,23
16,Pecker,35,25.1175,77,147,40,41,3,18,88,83,2,19
16,Pecker,37,29.2385,66,150,64,55,7,15,53,75,5,27
16,Pecker,39,33.3595,88,160,34,59,4,13,62,82,1,20
16,Pecker,41,56.888,46,135,48,71,2,13,102,64,10,24
16,Pecker,43,99.804,62,152,47,67,3,9,69,85,5,21
16,Pecker,45,142.72,57,137,54,51,3,19,79,78,10,18
16,Pecker,47,185.636,67,153,28,50,3,13,93,78,4,24
16,Pecker,49,228.552,81,154,42,50,6,12,84,59,6,24
16,Pecker,51,281.279,76,137,49,89,3,21,70,61,5,27
16,Pecker,53,343.937,73,151,40,71,3,16,73,58,10,27
16,Pecker,55,406.595,82,143,34,80,3,13,78,59,5,14
16,Pecker,57,469.253,94,117,42,85,4,17,65,59,6,17
16,Pecker,59,531.911,103,115,19,105,3,21,70,46,1,20
16,Pecker,61,594.569,117,110,19,95,1,15,67,52,1,24
16,Pecker,63,657.227,111,124,27,94,3,19,63,41,2,29
16,Pecker,65,719.885,96,135,24,100,3,17,68,51,3,22
16,Pecker,67,782.543,83,148,17,108,4,21,71,49,5,19
16,Pecker,69,854.829,108,128,15,103,5,19,56,48,5,21
16,Pecker,71,927.111,103,125,17,117,4,13,70,42,2,14
16,Pecker,73,999.393,109,133,10,125,2,13,54,46,4,25
16,Pecker,75,1071.675,119,114,10,114,3,19,68,39,3,22
16,Pecker,77,1143.957,134,126,18,103,2,15,52,36,5,21
16,Pecker,79,1216.239,135,94,12,106,5,21,58,38,4,26
16,Pecker,81,1288.521,127,94,17,107,3,20,65,51,2,27
16,Pecker,83,1360.803,145,112,14,120,4,24,67,42,3,11
16,Pecker,85,1433.085,115,113,4,119,3,21,89,25,3,26
17,Pickerel,4,-38.32,20,76,2,21,19,5,208,135,6,23
17,Pickerel,8,-24.64,10,70,2,24,13,7,207,117,7,43
17,Pickerel,12,-10.96,11,84,3,24,12,12,181,147,2,38
17,Pickerel,16,2.72,6,55,1,29,11,1,201,160,4,30
17,Pickerel,20,16.4,22,71,7,28,8,4,148,173,5,26
17,Pickerel,24,30.08,11,91,9,23,16,5,151,156,4,33
17,Pickerel,28,43.76,24,84,5,18,13,5,161,140,3,55
17,Pickerel,32,57.44,13,89,5,28,10,1,150,176,3,34
17,Pickerel,36,71.12,9,91,4,16,9,5,162,132,3,57
17,Pickerel,41,88.22,11,101,2,14,19,1,168,186,3,15
17,Pickerel,44,98.48,16,89,2,27,9,3,173,157,8,32
17,Pickerel,48,112.16,20,82,0,15,17,0,154,176,8,34
17,Pickerel,52,125.84,21,91,1,27,17,1,151,170,6,28
17,Pickerel,56,139.52,27,66,8,29,13,2,143,190,8,24
17,Pickerel,61,156.62,26,75,2,26,14,5,155,166,9,38
17,Pickerel,64,166.88,12,71,3,30,16,2,163,176,4,35
17,Pickerel,68,180.56,21,69,9,29,12,7,142,185,10,35
17,Pickerel,72,194.24,18,53,8,30,12,4,177,189,5,29
17,Pickerel,76,207.92,16,61,3,29,16,3,158,189,4,46
17,Pickerel,80,221.6,28,57,2,21,18,3,157,186,7,27
17,Pickerel,84,235.28,20,82,4,19,17,4,159,173,8,35
17,Pickerel,88,248.96,16,61,1,29,16,4,167,176,5,22
17,Pickerel,92,262.64,22,68,5,20,12,5,163,173,3,26
17,Pickerel,96,276.32,18,65,2,33,14,3,173,179,5,29
17,Pickerel,100,290,18,64,3,30,20,6,162,172,5,31
17,Pickerel,104,357.24,38,62,2,23,12,0,156,187,2,31
17,Pickerel,108,424.48,26,81,2,21,16,1,182,154,4,27
17,Pickerel,112,491.72,26,52,2,35,18,2,181,188,3,19
17,Pickerel,116,558.96,30,64,2,43,10,1,125,216,6,24
17,Pickerel,124,693.44,20,72,1,27,14,4,171,184,3,17
17,Pickerel,132,827.92,28,78,2,53,20,4,172,158,3,21
17,Pickerel,140,962.4,16,71,1,40,12,7,167,182,1,22
17,Pickerel,148,1096.88,26,50,1,29,26,3,175,166,3,39
17,Pickerel,156,1231.36,36,48,1,41,20,1,155,230,3,15
17,Pickerel,164,1365.84,30,61,2,36,17,4,176,166,1,18
17,Pickerel,172,1500.32,36,54,2,34,22,1,172,194,2,21
17,Pickerel,180,1627.12,37,64,1,25,16,2,197,179,1,24
17,Pickerel,188,1855.232,40,54,0,24,19,4,156,179,2,34
17,Pickerel,192,1969.288,41,34,1,38,12,5,174,190,3,28
17,Pickerel,200,2197.4,38,65,6,29,15,2,174,184,1,29
17,Pickerel,208,2425.512,37,51,2,26,13,5,181,178,0,27
17,Pickerel,216,2653.624,41,48,0,34,11,4,170,180,1,26
17,Pickerel,224,2881.736,54,58,0,38,25,5,186,134,0,29
17,Pickerel,232,3109.848,47,57,3,21,16,6,210,145,1,29
17,Pickerel,240,3337.96,42,37,1,26,22,4,240,131,0,24
17,Pickerel,248,3566.072,48,55,1,24,15,4,217,136,1,32
17,Pickerel,256,3794.184,27,45,0,10,23,5,232,158,2,35
18,Quag,0,-44,17,224,7,37,4,17,114,48,3,45
18,Quag,2,-27.534,31,197,3,38,6,27,128,52,1.5,35
18,Quag,4,-11.068,43,207,9,52,1,18,104,60,3,21
18,Quag,6,5.398,63,161,19,51,3,20,90,60,16,34
18,Quag,8,21.864,46,206,28,61,2,27,77,44,12,34
18,Quag,10,38.33,33,171,12,64,10,13,100,71,23,16
18,Quag,12,54.796,58,162,13,67,3,8,84,80,21,36
18,Quag,14,76.328,68,130,5,72,8,17,102,68,13,19
18,Quag,16,102.922,83,107,13,96,5,10,86,66,30,13
18,Quag,18,129.516,68,127,11,99,5,19,75,68,34,13
18,Quag,20,156.11,61,104,16,68,3,18,101,80,31,25
18,Quag,22,182.704,58,129,6,99,2,9,108,81,17,15
18,Quag,24,214.912,56,110,12,114,7,17,71,80,20,23
18,Quag,26,252.748,64,119,8,106,13,11,74,72,29,19
18,Quag,28,290.584,76,125,11,39,2,16,89,41,33,23
18,Quag,30,328.42,57,127,11,116,7,14,82,64,39,21
18,Quag,32,366.256,79,107,6,121,5,13,87,71,21.5,19
18,Quag,34,404.092,57,110,16,118,3,9,78,72,28.5,20
18,Quag,36,441.928,72,137,13,81,0,9,91,63,20,26
18,Quag,39,498.682,72,123,11,99,8,10,101,46,21,19
18,Quag,41,536.518,83,133,5,129,0,17,70,33,20,24
18,Quag,43,574.354,75,124,7,104,7,18,87,43,24,16
18,Quag,46,626.536,105,146,7,105,3,11,62,42,14,14
18,Quag,49,669.532,103,116,8,110,7,10,98,55,13,17
18,Quag,51,698.196,99,122,7,87,5,9,82,46,26,20
18,Quag,53,726.86,126,92,15,110,10,10,67,36,25.5,20
18,Quag,55,755.524,123,134,8,95,11,19,56,37,21.5,24
18,Quag,57,784.188,133,87,8,92,11,30,84,32,17.5,19
18,Quag,59,812.852,103,104,11,122,4,15,65,48,26.5,20
18,Quag,61,841.516,115,104,6,125,8,12,53,42,24,18
18,Quag,63,870.18,133,91,5,149,5,12,55,50,9,13
18,Quag,65,898.844,108,114,5,131,5,13,69,26,8,22
18,Quag,67,927.508,114,85,10,138,1,18,64,53,3,18
18,Quag,69,956.172,109,114,3,150,6,15,63,38,16,12
18,Quag,73,1013.5,137,79,2,129,4,18,62,45,9,18
18,Quag,78,1085.16,145,73,4,132,4,8,63,36.5,9.5,19
18,Quag,82,1142.488,120,88,3,172,5,9,51,34.5,9.5,18
18,Quag,86,1199.816,171,82,2,130,2,9,56,51,4,17
18,Quag,91,1271.476,130,87,2,133,4,14,67,39.5,4,24
18,Quag,95,1328.804,131,86,3,131,4,12,66,53,6,12
18,Quag,101,1414.796,148,78,5,118,1,15,72,58.5,5.5,27
18,Quag,105,1472.124,138,63,1,140,6,13,65,39,5.5,26
18,Quag,109,1529.452,145,58,2,148,4,13,63,53,1,16
18,Quag,114,1601.112,132,73,1,123,6,10,80,54.5,2.5,22
18,Quag,118,1658.44,118,66,1,139,4,14,60,72.5,4.5,24
18,Quag,124,1744.432,124,83,3,114,8,13,78,42.5,3,27
18,Quag,128,1801.76,118,87,1,118,5,20,62,48,1,24
18,Quag,131,1844.756,128,61,1,127,5,18,74,58.5,3.5,18.5
18,Quag,141,1988.076,140,56,2,141,7,13,63,49,8.2,24
18,Quag,145,2045.404,137,69,2,144,5,15,60,54,6.5,24
18,Quag,149,2102.732,131,71,0,129,7,19,56,50,4.5,23.5
18,Quag,153,2160.06,129,50,2,130,7,15,53,71.5,2.5,35
18,Quag,157,2217.388,154,50,1,131,11,12,64,68.5,0,22
18,Quag,161,2274.716,157,52,0,159,3,13,58,70.5,1,23
18,Quag,165,2332.044,142,43,0,142,8,12,74,79.5,2,28
18,Quag,169,2389.372,148,53,1,148,8,9,59,69,3,27
18,Quag,173,2446.7,145,51,1,154,6,17,53,52,2,23
18,Quag,177,2504.028,156,41,1,127,9,17,75,64.5,1.5,29
19,Silver,1,-38.1579,20,107,3,21,1,15,176,75,0,28
19,Silver,3,-24.4737,13,129,6,17,5,9,153,75,0,26
19,Silver,5,-10.7895,11,100,6,19,2,13,162,74,2,27
19,Silver,7,2.8947,7,103,4,9,6,13,201,63,3,27
19,Silver,9,16.5789,7,121,4,15,2,7,180,66,1,21
19,Silver,11,30.2631,9,107,5,15,3,18,162,67,3,20
19,Silver,13,43.9473,20,124,7,20,5,6,131,79,2,28
19,Silver,15,57.6315,9,112,6,18,3,4,121,86,4,21
19,Silver,17,71.3157,18,91,9,24,6,12,127,81,5,17
19,Silver,19,84.9999,24,103,10,25,2,6,102,103,4,19
19,Silver,21,98.6841,20,93,14,31,1,9,92,113,5,19
19,Silver,23,112.3683,23,104,11,27,4,16,76,102,2,19
19,Silver,25,126.0525,24,111,4,35,6,3,106,132,5,19
19,Silver,27,139.7367,28,112,10,30,4,10,100,101,5,7
19,Silver,29,153.4209,8,104,14,34,7,8,103,92,4,22
19,Silver,31,167.1051,22,105,18,31,2,7,111,96,3,23
19,Silver,33,180.7893,32,120,15,29,7,7,117,113,4,23
19,Silver,35,194.4735,27,99,23,22,5,9,111,102,4,19
19,Silver,37,208.1577,39,111,6,30,2,9,119,104,2,17
19,Silver,39,236.84,46,125,20,34,2,7,92,95,6,21
19,Silver,41,280.52,43,113,11,40,5,9,118,114,4,18
19,Silver,43,324.2,37,108,23,33,9,13,94,90,5,23
19,Silver,45,367.88,37,99,14,48,3,3,105,105,1,31
19,Silver,47,411.56,39,113,20,40,3,16,85,114,3,13
19,Silver,49,455.24,54,110,20,52,4,10,103,110,1,12
19,Silver,51,498.92,64,118,23,34,4,8,100,101,3,19
19,Silver,55,586.28,53,113,16,43,10,11,83,84,3,17
19,Silver,57,629.96,50,97,9,54,5,10,109,94,3,31
19,Silver,59,656.8,61,120,13,34,6,13,86,88,4,27
19,Silver,61,666.8,61,126,9,41,2,12,93,105,7,21
19,Silver,63,676.8,59,114,13,41,10,4,116,81,3,14
19,Silver,65,686.8,43,99,9,61,7,14,110,122,3,15
19,Silver,67,696.8,73,125,21,59,4,13,100,106,4,18
19,Silver,69,706.8,58,128,6,54,1,8,110,93,3,22
19,Silver,71,716.8,59,114,9,38,5,13,95,92,2,22
19,Silver,73,726.8,73,98,1,62,5,12,84,111,2,10
19,Silver,75,736.8,68,101,16,35,2,11,103,113,5,17
19,Silver,77,746.8,56,119,12,57,7,7,112,82,1,12
19,Silver,79,756.8,51,128,22,48,1,10,89,99,3,23
19,Silver,81,766.8,47,120,6,47,2,9,101,108,4,10
19,Silver,83,776.8,55,129,17,59,2,11,91,93,2,12
19,Silver,85,786.8,57,124,5,45,7,12,98,111,5,15
19,Silver,87,796.8,48,113,11,50,5,15,87,103,3,20
19,Silver,89,806.8,62,95,15,50,11,12,113,100,1,17
19,Silver,91,816.8,45,107,13,46,1,12,86,123,4,19
19,Silver,102.5,874.3,103,111,3,152,5,8,87,55,1.5,12
19,Silver,104.5,884.3,96,105,6,143,2,9,90,68,1.5,12
19,Silver,106.5,894.3,97,106,8,157,2,13,78,68,0,26
19,Silver,108.5,904.3,104,108,6,133,2,7,71,79,2.5,24
19,Silver,110.5,914.3,97,119,9,116,2,11,79,103.5,1,27
19,Silver,112.5,924.3,67,124,7,105,5,14,103,68,0,24
19,Silver,114.5,934.3,71,116,2,117,7,17,111,67,2.5,18
19,Silver,116.5,944.3,63,129,8,105,5,18,109,61,0,13
19,Silver,118.5,954.3,85,90,5,96,6,11,110,92,2,18
19,Silver,120.5,964.3,54,112,5,104,8,14,117,75,2,19
19,Silver,122.5,974.3,72,115,3,130,3,12,81,91,2,16
19,Silver,124.5,984.3,68,93,6,133,3,24,103,80,2,16
19,Silver,126.5,994.3,65,131,8,123,5,16,105,74,0,12
19,Silver,128.5,1004.3,94,130,8,87,13,19,79,75,1,26
19,Silver,130.5,1014.3,76,116,3,81,6,13,104,91,2,21
19,Silver,132.5,1024.3,81,116,3,86,2,15,117,93,1,25
19,Silver,134.5,1034.3,81,89,5,111,2,12,110,88,2,22
19,Silver,136.5,1044.3,82,116,3,108,12,14,90,84,0,27
19,Silver,138.5,1054.3,79,87,3,113,6,13,102,82,0,26
19,Silver,140.5,1064.3,100,82,4,93,6,19,90,108,1,26
19,Silver,142.5,1074.3,113,65,5,132,5,11,98,91,1,18
19,Silver,144.5,1084.3,110,57,3,113,8,11,109,92,1,38
19,Silver,146.5,1094.3,97,68,5,108,5,8,96,125,0,26
19,Silver,148.5,1104.3,92,71,5,102,5,22,123,93,0,15
20,Snake,1,-33.05,21,122,0,51,3,16,123,145,5,29
20,Snake,3,-15.15,43,120,4,54,6,13,107,137,17,23
20,Snake,5,2.75,51,128,2,46,7,24,102,116,8,27
20,Snake,7,20.65,55,135,8,82,7,17,92,116,17,23
20,Snake,9,38.55,66,131,2,82,3,11,83,117,16,17
20,Snake,11,55.075,60,109,3,94,2,14,85,97,14,30
20,Snake,13,70.225,63,118,10,90,4,12,76,109,16,19
20,Snake,15,85.375,69,126,5,43,2,13,94,93,16,37
20,Snake,17,100.525,54,116,9,62,5,16,93,118,18,39
20,Snake,19,115.675,41,129,10,54,2,34,97,125,5,26
20,Snake,21,130.825,40,118,10,59,3,11,98,121,8,32
20,Snake,23,145.975,62,133,6,66,5,15,84,112,15,23
20,Snake,25,161.125,37,122,2,64,11,17,98,106,16,21
20,Snake,27,176.275,50,134,12,45,5,21,83,119,13,25
20,Snake,29,191.425,54,127,8,71,3,10,106,107,15,19
20,Snake,31,225.44,40,109,10,66,2,13,99,129,13,20
20,Snake,33,278.32,41,139,2,97,7,14,89,127,19,26
20,Snake,35,331.2,51,140,7,75,2,17,120,60,12,22
20,Snake,37,384.08,61,123,5,97,5,19,85,71,9,32
20,Snake,39,436.96,82,101,5,125,2,19,82,59,17,27
20,Snake,41,489.84,93,101,3,125,6,23,90,40,6,17
20,Snake,43,542.72,108,100,7,129,3,16,71,41,22,24
20,Snake,45,595.6,87,117,8,123,6,21,87,52,9,24
20,Snake,47,673.509,109,120,8,135,6,18,80,46,21,23
20,Snake,49,751.403,119,110,6,139,9,14,76,38,7,17
20,Snake,51,829.297,117,81,3,159,4,21,75,43,9,14
20,Snake,53,907.191,114,108,4,158,6,12,72,39,5,24
20,Snake,55,985.085,94,78,3,157,5,22,81,43,2,20
20,Snake,57,1062.979,112,78,8,138,7,17,85,26,3,27
20,Snake,59,1140.873,105,88,4,150,6,21,78,41,3,27
20,Snake,61,1215.159,117,85,0,138,3,30,85,32,5,17
20,Snake,63,1285.937,105,96,2,149,4,20,84,54,3,24
20,Snake,65,1356.715,121,75,5,146,4,15,73,57,7,22
20,Snake,67,1427.493,84,85,1,175,7,17,83,52,5,22
20,Snake,69,1498.271,83,98,5,148,3,19,84,53,8,19
20,Snake,71,1569.049,88,75,2,158,0,19,82,73,2,18
20,Snake,73,1639.827,106,91,4,182,7,16,76,47,10,20
20,Snake,75,1710.605,118,88,2,162,5,16,63,42,4,32
20,Snake,77,1781.383,116,86,5,139,4,21,94,36,4,24
20,Snake,79,1852.161,107,58,0,174,2,18,74,40,3,32
20,Snake,81,1916.14,105,54,3,176,4,23,86,40,11,26
20,Snake,83,1980.12,130,62,3,170,9,15,82,52,2,23
20,Snake,85,2044.1,126,50,4,182,6,19,67,52,4,19
20,Snake,87,2108.08,140,60,3,146,3,15,94,39,5,20
20,Snake,89,2172.06,110,78,2,135,9,26,85,39,2,18
20,Snake,91,2236.04,126,76,0,118,6,23,93,44,4,32
20,Snake,93,2300.02,120,85,3,132,10,16,84,53,2,22
20,Snake,95,2364,113,68,10,135,3,18,81,62,2,21
20,Snake,97,2427.98,131,76,4,151,4,13,64,57,2,27
20,Snake,99,2491.96,114,56,3,144,4,25,99,41,2,31
21,Uncas,0,-52,0,17,0,3,5,2,61,23,1,9
21,Uncas,4,-29.2,11,78,1,19,22,8,244,108,6,20
21,Uncas,8,-6.4,14,97,4,21,18,12,236,52,3,21
21,Uncas,12,16.4,13,95,5,17,18,8,266,47,3,27
21,Uncas,16,39.2,18,110,7,17,18,3,229,67,5,26
21,Uncas,20,62,21,97,2,23,18,13,224,70,3,20
21,Uncas,24,84.8,16,116,15,19,23,4,218,83,6,29
21,Uncas,28,107.6,17,111,11,10,28,8,217,112,4,26
21,Uncas,32,130.4,16,94,5,19,10,5,193,107,4,35
21,Uncas,36,153.2,16,84,4,11,21,6,203,91,6,18
21,Uncas,40,176,16,94,5,11,20,4,219,87,6,19
21,Uncas,44,198.8,28,59,2,14,11,9,267,96,7,12
21,Uncas,48,221.6,29,79,4,18,26,8,232,75,5,17
21,Uncas,52,244.4,16,72,3,22,21,10,275,56,3,23
21,Uncas,56,267.2,22,74,3,43,19,10,242,61,7,19
21,Uncas,60,290,19,75,10,28,22,10,248,51,7,31
21,Uncas,64,330.55,25,85,2,29,28,8,236,65,4,21
21,Uncas,68,371.09,20,74,3,37,22,6,260,49,5,24
21,Uncas,72,411.63,14,64,3,30,30,8,240,58,6,28
21,Uncas,76,452.17,21,59,5,30,20,9,249,47,4,23
21,Uncas,80,492.71,31,64,3,20,22,12,277,46,6,34
21,Uncas,84,533.25,21,64,4,24,21,5,276,41,6,32
21,Uncas,88,573.79,22,76,3,43,23,8,250,53,12,19
21,Uncas,92,614.33,29,56,2,37,25,12,254,50,5,20
21,Uncas,96,654.87,28,64,4,37,25,10,276,43,2,25
21,Uncas,100,695.41,25,64,5,33,15,10,269,52,4,26
21,Uncas,104,744.8,45,56,4,30,13,12,270,30,3,24
21,Uncas,108,820.8,32,56,3,30,18,8,297,24,5,20
21,Uncas,112,896.8,35,71,2,50,26,9,284,24,5,25
21,Uncas,116,972.8,36,69,2,35,23,11,296,35,3,27
21,Uncas,120,1048.8,22,66,9,36,24,8,269,35,1,16
21,Uncas,124,1124.8,40,61,0,33,23,12,269,37,6,28
21,Uncas,128,1200.8,36,55,3,47,12,10,303,49,3,13
21,Uncas,132,1276.8,41,64,2,59,15,6,241,42,6,19
21,Uncas,136,1348.998,44,53,3,46,23,9,293,51,3,35
21,Uncas,140,1409.97,36,69,4,33,21,7,282,33,4,38
21,Uncas,144,1470.942,31,60,0,40,19,7,263,34,2,25
21,Uncas,148,1531.914,28,49,1,32,16,11,271,57,3,23
21,Uncas,152,1592.886,37,59,2,53,38,7,356,50,0,23
21,Uncas,156,1653.858,34,60,0,37,28,13,304,48,3,28
21,Uncas,160,1714.83,30,55,2,30,36,9,308,51,0,22
21,Uncas,164,1775.802,25,44,0,28,30,6,318,65,0,17
21,Uncas,168,1836.774,30,58,1,29,20,11,337,51,1,29
21,Uncas,172,1897.746,44,50,1,29,20,10,310,64,1,39
21,Uncas,176,1958.718,38,46,4,24,19,10,322,63,0,28
21,Uncas,180,2019.69,37,56,1,23,30,6,294,53,2,23
21,Uncas,184,2080.662,39,39,0,25,23,8,298,73,3,23
21,Uncas,188,2141.634,42,49,3,32,22,9,318,71,1,26
21,Uncas,192,2202.606,51,41,1,19,21,8,274,62,1,24
21,Uncas,196,2259.476,47,46,0,34,20,8,245,71,1,25
21,Uncas,200,2303.752,32,61,1,44,15,8,325,66,2,18
21,Uncas,204,2348.028,34,42,0,24,20,12,278,53,1,22
21,Uncas,208,2392.304,36,41,0,26,15,10,279,52,6,29
21,Uncas,212,2436.58,36,69,0,35,7,13,274,62,2,24
21,Uncas,216,2480.856,32,44,0,28,18,14,278,51,3,26
21,Uncas,220,2525.132,38,77,0,25,24,10,291,74,1,31
21,Uncas,224,2569.408,45,37,0,21,12,8,255,72,2,27
21,Uncas,228,2613.684,42,50,0,30,21,6,286,77,1,17
21,Uncas,232,2657.96,45,60,1,34,16,7,257,58,2,30
21,Uncas,236,2702.236,42,57,0,32,24,13,285,50,0,24
21,Uncas,240,2746.512,28,53,0,21,16,7,290,49,2,26
21,Uncas,244,2790.788,42,62,0,27,19,20,291,58,2,19
21,Uncas,248,2835.064,40,54,0,23,12,10,339,50,1,23
21,Uncas,252,2879.34,35,50,1,22,21,8,297,56,0,29
21,Uncas,256,2923.616,32,30,1,23,15,7,338,52,0,26
21,Uncas,260,2967.892,34,33,0,19,22,3,312,37,0,25
22,Walden,0,-50,2,48,1,3,17,9,230,164.5,2,28
22,Walden,2,-33.996,2,95,1,2,4,11,319,127.5,4,27
22,Walden,4,-17.992,3,87,0,19,12,10,319,185.5,2,20
22,Walden,6,-1.988,0,96,1,9.5,11,7,238,115,1.5,24
22,Walden,8,14.016,5,105,0,5,9,12,238,109,4.5,20
22,Walden,10,30.02,3,180,6,9,7,8,222,43.5,2,34
22,Walden,12,46.024,2,135,30,5.5,7,11,154,86.5,9.5,54
22,Walden,14,67.75,13,98,10,22,11,10,213,122.5,10.5,27.5
22,Walden,16,95.22,18,103,7,17.5,4,7,207,128,7.5,22.5
22,Walden,18,122.69,11,74,9,22,9,13,277,93,2,15.5
22,Walden,20,150.16,19,88,12,23.5,12,12,330,163.5,22,29
22,Walden,22,177.63,11,61,7,22,16,7,266,138,5.5,13
22,Walden,24,205.1,9,68,7,27,8,4,224,146.5,10,14
22,Walden,26,232.57,17,59,5,29.5,9,4,193,138.5,5,25
22,Walden,28,260.04,15,68,3,31,11,9,214,131,4,25
22,Walden,30,287.51,16,65,5,27,5,11,235,116.5,10,18
22,Walden,32,314.98,21,76,4,28,17,6,176,125,12,27
22,Walden,34,375.874,23,62,5,32,14,10,228,89.5,9.5,19
22,Walden,36,436.736,23,65,6,17.5,11,8,234,88,5,22
22,Walden,38,497.598,17,68,4,25,8,6,232,81.5,10,30
22,Walden,40,558.46,26,81,16,47,12,6,258,129,22,25
22,Walden,44,680.184,38,72,10,42,12,6,311,113,9.5,20
22,Walden,48,763.925,22,75,5,28.5,11,3,246,70.5,7.5,27
22,Walden,52,835.025,20,80,7,39,5,11,229,58.5,6,28
22,Walden,56,906.125,25,63,4,43,9,9,270,97.5,13.5,22
22,Walden,60,977.225,30,64,5,49.5,14,10,269,62,9,29
22,Walden,64,1018.6588,26,64,5,37,12,3,248,59,7.5,22
22,Walden,68,1050.2056,26,65,2,48,11,10,211,72.5,12.5,20
22,Walden,72,1081.7524,27,60,10,32.5,10,7,284,93.5,10,25
22,Walden,76,1113.2992,31,64,5,41,11,6,262,68,7.5,17
22,Walden,80,1144.846,19,94,4,47,17,18,268,82.5,8.5,32
22,Walden,84,1176.3928,30,64,3,47.5,19,14,229,69.5,12.5,32
22,Walden,88,1207.9396,35,60,4,37.5,8,18,228,64.5,10,24
22,Walden,92,1236.9972,37,64,4,46,9,9,241,81,6.5,23
22,Walden,96,1258.5736,23,80,1,34.5,12,11,273,75,6.5,33
22,Walden,100,1280.15,29,46,4,31,7,12,262,74,6.5,21
22,Walden,104,1301.7264,22,55,4,40,3,12,217,94.5,4.5,31.5
22,Walden,108,1323.3028,30,81,6,38,4,9,281,99,3.5,29
22,Walden,112,1344.8792,31,51,6,33.5,4,10,281,80,4.5,34
22,Walden,116,1366.4556,39,72,1,40.5,14,7,380,129,8.5,29
22,Walden,120,1388.032,33,67,1,40,7,12,320,81,2,37
22,Walden,124,1409.6084,25,49,0,31.5,8,8,289,66.5,3,16
22,Walden,128,1431.1848,19,73,5,46,6,6,303,88.5,6.5,24
22,Walden,132,1452.7612,29,61,2,39,10,11,302,55,5.5,16
22,Walden,136,1474.3376,47,93,3,43,6,12,292,76.5,3,26
22,Walden,140,1495.914,27,69,2,29.5,13,9,279,72,2,23
23,Wickett,1.5,-34.1081,22,185,3,23,11,14,164,58,0,17
23,Wickett,3.5,-20.9189,15,229,16,26,6,16,121,48,2,27
