Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,1,-11.59,0,0.28,0,0.62,0,0.00,23.30,-15.36,1,-0.02,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,1.0,1.042,0.00,0,-11.77,0,0.26,0,0.62,0,0.00,23.30,-13.60,0,0.25,3,67,67,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,1.5,1.063,0.00,0,-11.92,0,0.25,0,0.63,0,0.00,23.20,-17.12,0,0.16,3,3,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,2.0,1.083,0.00,0,-12.19,0,0.24,0,0.63,0,0.00,23.20,-14.65,0,-0.84,3,35,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,2.5,1.104,0.00,0,-12.36,0,0.24,0,0.63,0,0.00,23.20,-25.46,0,-1.08,3,67,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,3.0,1.125,0.00,0,-12.36,0,0.25,0,0.64,0,0.00,23.20,-8.48,0,-1.08,3,35,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,3.5,1.146,0.00,0,-12.34,0,0.26,0,0.64,0,0.00,23.20,-2.29,0,-1.08,3,99,35,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,4.0,1.167,0.00,0,-12.34,0,0.26,0,0.65,0,0.00,23.20,-0.60,0,-1.08,3,99,67,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,4.5,1.188,0.00,0,-12.58,0,0.26,0,0.67,0,0.00,23.20,-16.38,0,-0.95,3,99,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,5.0,1.208,0.00,0,-12.83,0,0.25,0,0.67,0,0.00,23.10,-5.72,0,-0.86,3,99,35,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,5.5,1.229,0.00,0,-12.91,0,0.26,0,0.67,0,0.00,23.10,-6.74,0,-0.70,3,99,67,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,6.0,1.250,0.00,0,-12.91,0,0.25,0,0.68,0,0.00,23.10,0.68,0,-0.70,3,99,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,6.5,1.271,0.00,0,-12.73,0,0.25,0,0.68,0,0.00,23.10,1.93,0,-0.86,3,99,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,7.0,1.292,0.00,0,-12.52,0,0.25,0,0.69,0,0.00,23.10,2.57,0,-0.95,3,67,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,7.5,1.313,0.13,0,-12.47,0,0.25,0,0.71,0,0.00,23.10,4.06,0,-0.95,3,3,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,8.0,1.333,3.29,0,-12.38,0,0.26,0,0.70,0,0.00,23.10,7.01,0,-1.08,3,3,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,8.5,1.354,16.15,0,-12.24,0,0.26,0,0.69,0,0.00,23.10,11.53,0,-0.84,3,3,3,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,9.0,1.375,36.99,0,-12.10,0,0.26,0,0.70,0,0.00,23.10,-12.82,1,-0.76,3,35,35,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,9.5,1.396,69.70,0,-11.83,0,0.26,0,0.70,0,0.00,23.00,28.87,0,3.70,3,67,67,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
