Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,3,-5.76,3,1.44,3,-0.21,0,0.00,22.20,-20.91,3,0.45,3,35,35,0.000,0.000,-0.041,3,0.041,0.009,3,-0.009,0.301,2,-0.301,0.193,2,-0.193
1,1,1.0,1.042,0.00,3,3.82,3,2.72,3,-0.23,0,0.00,22.20,-73.11,3,0.19,3,99,99,0.000,0.000,-0.427,3,0.427,-0.332,3,0.332,0.435,2,-0.435,0.072,2,-0.072
1,1,1.5,1.063,0.00,3,3.60,3,2.60,3,-0.25,0,0.00,22.20,-72.73,3,0.86,3,99,99,0.000,0.000,-0.303,3,0.304,-0.312,3,0.312,0.424,2,-0.424,0.078,2,-0.078
1,1,2.0,1.083,0.00,3,3.40,3,2.53,3,-0.23,0,0.00,22.10,-75.61,3,-0.41,3,99,99,0.000,0.000,-0.228,3,0.228,-0.101,3,0.101,0.373,2,-0.373,0.080,2,-0.080
1,1,2.5,1.104,0.00,3,1.02,3,1.84,3,-0.20,0,0.00,22.10,-63.37,3,-2.36,3,99,99,0.000,0.000,0.645,3,-0.645,0.804,3,-0.804,0.302,2,-0.302,0.145,2,-0.145
1,1,3.0,1.125,0.00,3,-0.21,3,1.46,3,-0.20,0,0.00,22.20,-40.83,3,-2.00,3,99,99,0.000,0.000,2.158,3,-2.158,1.332,3,-1.332,0.302,2,-0.302,0.192,2,-0.192
1,1,3.5,1.146,0.00,3,-1.03,3,1.18,3,-0.20,0,0.00,22.10,-28.85,3,-0.96,3,99,99,0.000,0.000,1.137,3,-1.137,0.621,3,-0.621,0.233,2,-0.233,0.216,2,-0.216
1,1,4.0,1.167,0.00,3,-1.60,3,0.96,3,-0.21,0,0.00,22.20,-32.72,3,0.40,3,99,99,0.000,0.000,-0.596,3,0.596,-0.286,3,0.287,0.248,2,-0.248,0.251,2,-0.251
1,1,4.5,1.188,0.00,3,-1.92,3,0.83,3,-0.22,0,0.00,22.10,-47.58,3,1.49,3,99,99,0.000,0.000,-0.590,3,0.590,0.003,3,-0.003,0.197,2,-0.197,0.256,2,-0.256
1,1,5.0,1.208,0.00,3,-2.00,3,0.73,3,-0.22,0,0.00,22.10,-40.76,3,1.43,3,99,99,0.000,0.000,-0.243,3,0.243,-0.157,3,0.157,0.187,2,-0.187,0.268,2,-0.268
1,1,5.5,1.229,0.00,3,-2.15,3,0.61,3,-0.23,0,0.00,22.10,-29.68,3,1.49,3,99,99,0.000,0.000,-0.208,3,0.208,-0.177,3,0.177,0.175,2,-0.175,0.285,2,-0.285
1,1,6.0,1.250,0.00,3,-2.29,3,0.48,3,-0.25,0,0.00,22.20,-48.87,3,1.56,3,99,99,0.000,0.000,-0.154,3,0.154,-0.167,3,0.167,0.199,2,-0.199,0.311,2,-0.311
1,1,6.5,1.271,0.02,3,-2.32,3,0.41,3,-0.28,0,0.00,22.10,-61.32,3,1.48,3,99,99,0.000,0.000,-1.011,3,1.011,-0.663,3,0.664,0.157,2,-0.157,0.308,2,-0.308
1,1,7.0,1.292,0.38,3,-2.24,3,0.38,3,-0.27,0,0.00,22.10,-48.27,3,0.68,3,99,99,0.000,0.000,0.086,3,-0.086,0.109,3,-0.109,0.154,2,-0.154,0.312,2,-0.312
1,1,7.5,1.313,2.12,3,-2.16,3,0.36,3,-0.27,0,0.00,22.10,-22.11,3,0.61,3,99,99,0.000,0.000,0.305,3,-0.305,0.122,3,-0.122,0.151,2,-0.151,0.316,2,-0.316
1,1,8.0,1.333,10.47,3,-2.07,3,0.34,3,-0.27,0,0.00,22.10,-15.11,3,0.99,3,99,99,0.000,0.000,-0.081,3,0.081,-0.014,3,0.014,0.422,2,-0.422,0.815,2,-0.815
