Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,1,-14.54,0,0.21,0,0.05,0,0.00,22.00,-17.50,1,0.51,1,99,99,0.019,0.016,0.066,3,-0.047,0.045,3,-0.030,0.093,1,-0.074,0.285,1,-0.269
1,1,1.0,1.042,0.00,0,-14.65,0,0.19,0,0.05,0,0.00,22.00,-21.17,0,0.83,0,67,67,0.019,0.015,0.038,1,-0.019,0.040,1,-0.025,0.093,1,-0.074,0.285,1,-0.270
1,1,1.5,1.063,0.00,0,-14.57,0,0.18,0,0.05,0,0.00,22.00,-13.84,0,0.19,0,3,3,0.019,0.016,0.038,1,-0.019,0.040,1,-0.025,0.093,1,-0.074,0.285,1,-0.270
1,1,2.0,1.083,0.00,0,-14.49,0,0.18,0,0.06,0,0.00,22.00,-1.75,0,0.30,0,3,3,0.019,0.016,0.038,1,-0.019,0.040,1,-0.025,0.093,1,-0.074,0.287,1,-0.271
1,1,2.5,1.104,0.00,0,-14.16,0,0.18,0,0.06,0,0.00,22.00,-12.49,0,1.72,0,35,35,0.020,0.016,0.038,1,-0.018,0.040,1,-0.024,0.093,1,-0.073,0.288,1,-0.271
1,1,3.0,1.125,0.00,0,-13.97,0,0.19,0,0.07,0,0.00,22.00,-13.40,0,1.82,0,99,99,0.020,0.017,0.038,1,-0.018,0.040,1,-0.024,0.093,1,-0.073,0.289,1,-0.273
1,1,3.5,1.146,0.00,0,-13.95,0,0.18,0,0.08,0,0.00,22.00,-47.47,0,0.29,0,99,99,0.020,0.017,0.038,1,-0.018,0.040,1,-0.024,0.093,1,-0.073,0.291,1,-0.275
1,1,4.0,1.167,0.00,0,-14.01,0,0.17,0,0.06,0,0.00,22.00,8.95,0,-0.19,0,99,99,0.020,0.017,0.038,1,-0.018,0.040,1,-0.024,0.093,1,-0.073,0.287,1,-0.271
1,1,4.5,1.188,0.00,0,-13.73,0,0.17,0,0.05,0,0.00,22.00,0.02,0,0.44,0,99,99,0.020,0.017,0.038,1,-0.018,0.040,1,-0.023,0.093,1,-0.072,0.284,1,-0.267
1,1,5.0,1.208,0.00,0,-13.53,0,0.18,0,0.04,0,0.00,22.00,-20.42,0,0.98,0,99,99,0.021,0.017,0.038,1,-0.017,0.040,1,-0.023,0.092,1,-0.071,0.280,1,-0.263
1,1,5.5,1.229,0.00,0,-13.39,0,0.18,0,0.02,0,0.00,22.00,-2.60,0,1.10,0,99,99,0.021,0.018,0.038,1,-0.017,0.040,1,-0.023,0.092,1,-0.071,0.277,1,-0.259
1,1,6.0,1.250,0.00,0,-13.03,0,0.18,0,0.04,0,0.00,22.00,-1.65,0,1.70,0,99,99,0.022,0.018,0.038,1,-0.016,0.040,1,-0.022,0.092,1,-0.071,0.280,1,-0.262
1,1,6.5,1.271,0.00,0,-12.91,0,0.18,0,0.05,0,0.00,22.00,28.43,0,1.70,0,99,99,0.022,0.019,0.038,1,-0.016,0.040,1,-0.022,0.093,1,-0.071,0.283,1,-0.265
1,1,7.0,1.292,0.00,0,-12.72,0,0.18,0,0.06,0,0.00,22.00,-25.69,0,2.24,0,99,99,0.022,0.019,0.038,1,-0.016,0.040,1,-0.021,0.093,1,-0.071,0.288,1,-0.269
1,1,7.5,1.313,0.13,0,-12.58,0,0.19,0,0.08,0,0.00,22.00,20.45,0,2.64,0,99,99,0.023,0.019,0.038,1,-0.016,0.040,1,-0.021,0.094,1,-0.071,0.293,1,-0.273
