Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,1,-3.24,0,0.17,0,0.86,0,0.00,23.20,-4.80,2,-5.38,2,99,99,0.826,0.834,0.509,2,0.317,0.427,2,0.407,0.669,1,0.157,0.702,1,0.132
1,1,1.0,1.042,0.00,0,-3.33,0,0.17,0,0.86,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.821,0.828,0.836,1,-0.016,0.844,1,-0.016,0.667,1,0.154,0.701,1,0.127
1,1,1.5,1.063,0.00,0,-3.36,0,0.17,0,0.86,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.819,0.826,0.836,1,-0.018,0.844,1,-0.019,0.667,1,0.152,0.700,1,0.126
1,1,2.0,1.083,0.00,0,-3.45,0,0.17,0,0.85,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.813,0.820,0.836,1,-0.023,0.844,1,-0.024,0.665,1,0.148,0.699,1,0.121
1,1,2.5,1.104,0.00,0,-3.54,0,0.17,0,0.85,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.807,0.814,0.836,1,-0.029,0.844,1,-0.031,0.663,1,0.144,0.697,1,0.116
1,1,3.0,1.125,0.00,0,-3.63,0,0.17,0,0.85,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.801,0.808,0.836,1,-0.035,0.844,1,-0.036,0.661,1,0.140,0.696,1,0.112
1,1,3.5,1.146,0.00,0,-3.65,0,0.18,0,0.85,0,0.00,23.20,-5.14,1,-1.23,1,99,99,0.800,0.807,0.836,1,-0.036,0.844,1,-0.038,0.661,1,0.139,0.696,1,0.111
1,1,4.0,1.167,0.00,0,-3.72,0,0.18,0,0.85,0,0.00,23.20,-5.14,1,-1.16,1,99,99,0.796,0.802,0.836,1,-0.041,0.844,1,-0.042,0.660,1,0.136,0.695,1,0.108
1,1,4.5,1.188,0.00,0,-3.83,0,0.18,0,0.86,0,0.00,23.20,-5.33,1,-1.12,1,99,99,0.789,0.796,0.836,1,-0.047,0.844,1,-0.049,0.658,1,0.131,0.693,1,0.102
1,1,5.0,1.208,0.00,0,-4.01,0,0.18,0,0.86,0,0.00,23.20,-5.93,1,-1.21,1,99,99,0.778,0.784,0.830,1,-0.052,0.833,1,-0.049,0.656,1,0.122,0.691,1,0.093
