depth	min	max	median	wmean
1.5	-64.9	16.9	-27.3	-25.9
7.5	43.5	122.7	82.4	83.1
10.5	90.6	182.6	137.8	137.6
13.5	134.8	245	192.9	192.3
16.5	178.8	309.8	248.1	246.9
19.5	222.3	377.1	302.7	301.5
22.5	265.9	445.1	357.3	356.2
25.5	308.6	513.3	412.2	410.9
28.5	350.8	582.3	467	465.6
31.5	393.6	651.9	521.6	520.3
32.5	407.1	674.2	540.3	538.6
33.5	422.1	697.3	558.5	556.7
35.5	449.8	743.6	595	593.1
36.5	464	766.4	613.2	611.4
37.5	477.8	789.4	631.8	629.8
38.5	491.1	812.8	650.1	647.9
39.5	505.1	836.3	668.7	666.2
40.5	519.1	858.6	687	684.3
41.5	533.4	881.9	705.4	702.6
42.5	547.9	904.9	723.7	720.9
43.5	562.1	927.7	741.7	739.1
44.5	575.3	951	759.7	757.2
45.5	589.4	973.9	778.4	775.5
46.5	603	996.6	796.7	793.7
47.5	616.5	1019.4	815.2	812
48.5	631	1042.6	833.5	830.2
49.5	644.6	1065.8	851.9	848.4
50.5	689.7	1111.6	897.8	894.2
51.5	766.3	1179.7	971	967.3
52.5	843.1	1249.3	1044	1040.6
53.5	920.6	1317.9	1117.1	1113.9
54.5	996.6	1386.9	1190.7	1187.3
55.5	1073.2	1455.6	1263.2	1260.4
56.5	1150.1	1524.8	1336.3	1333.9
57.5	1226.4	1594	1408.6	1407.2
58.5	1302.9	1662.4	1480.4	1480.4
59.5	1380.4	1732.2	1552.8	1553.8
60.5	1456.3	1801.3	1624.8	1627
61.5	1533.4	1870.2	1695.8	1700.2
62.5	1610.4	1939.4	1768.3	1773.5
63.5	1685.9	2008.3	1839.7	1846.8
65.5	1837.9	2147	1983.6	1993.2
67.5	1987.3	2287.7	2127	2139.6
68.5	2063	2358.6	2198.6	2212.7
70.5	2213.5	2501.7	2342.6	2359
72.5	2363.5	2650	2488.1	2505.6
73.5	2437.6	2723.8	2560.6	2578.8
75.5	2586.7	2874	2705.4	2725.6
77.5	2735.6	3023.8	2851.2	2872.3
79.5	2881.3	3175.5	2995.3	3018.9
80.5	2954.4	3251.4	3067.9	3092.2
81.5	3026.6	3328.1	3140.5	3165.5
82.5	3098	3404.7	3213.3	3239
83.5	3171.4	3480.4	3286	3312.3
84.5	3241.5	3557.7	3359	3385.7
86.5	3383.3	3711	3504.2	3532.3
87.5	3454.6	3787.5	3576.7	3605.7
88.5	3524.9	3864.9	3649.1	3679
89.5	3594.2	3942.9	3721.8	3752.5
90.5	3664.4	4020.9	3794.4	3825.9
91.5	3733.4	4098.4	3867.2	3899.2
92.5	3803.1	4176.3	3940.7	3972.6
93.5	3873.1	4253.3	4013.2	4045.9
94.5	3942.8	4331.2	4086.2	4119.2
95.5	4012.4	4409	4159.3	4192.7
96.5	4082.7	4486.2	4232	4265.9
97.5	4151.9	4564.8	4304.9	4339.4
98.5	4220.8	4643.3	4377.9	4412.7
99.5	4289.8	4720.2	4451.1	4486
100.5	4347	4777.9	4508.8	4543.1
101.5	4392.1	4814.3	4550.7	4584.1
102.5	4438.3	4850.4	4592.7	4625.1
103.5	4486.1	4885.6	4635.4	4666.1
104.5	4531.9	4921	4676.8	4707.1
105.5	4578.2	4956.2	4718.9	4748.1
106.5	4623.3	4991.2	4761	4789.1
107.5	4669	5027.7	4803.1	4829.9
108.5	4714.5	5064.4	4845.4	4871.1
109.5	4761.2	5100	4887.5	4912.2
110.5	4807.7	5135.3	4929	4953
111.5	4853.7	5171	4971.4	4994
112.5	4899.3	5208	5012.9	5034.8
113.5	4945.9	5244	5055.3	5076
114.5	4993.1	5279	5097.4	5116.9
115.5	5038.4	5316.2	5139.4	5157.8
116.5	5085.4	5351.9	5181.6	5198.8
117.5	5131.4	5387.8	5224.1	5239.9
118.5	5177.6	5424.6	5266	5280.8
119.5	5223.6	5460.3	5308.5	5321.9
120.5	5269.4	5496.7	5350.2	5362.8
121.5	5315.5	5533.1	5392.3	5403.9
122.5	5361.3	5569.6	5433.8	5444.8
123.5	5406.4	5605.1	5475.7	5485.8
124.5	5451.4	5642	5517.1	5526.8
125.5	5495.1	5678.7	5558.6	5567.8
126.5	5538.9	5714.4	5600.4	5608.8
127.5	5581.6	5750.7	5641.8	5649.8
128.5	5622.4	5787.2	5683.5	5690.7
129.5	5659.4	5823.5	5725.6	5731.7
130.5	5695.7	5859.7	5767.6	5772.5
131.5	5731	5896.4	5810.2	5813.7
132.5	5766.9	5932.5	5853.1	5854.6
133.5	5801.9	5969.8	5895.5	5895.5
134.5	5837.9	6006.4	5938	5936.4
135.5	5872.7	6044.6	5981	5977.4
136.5	5907.6	6083.2	6023.6	6018.3
137.5	5943.4	6124.6	6066	6059.3
138.5	5978.3	6167.2	6108.7	6100.2
139.5	6013.4	6212.1	6151.5	6141.1
140.5	6048.9	6256.8	6193.9	6182
141.5	6084	6301.7	6236.5	6223
142.5	6118.4	6347.2	6278.8	6263.9
143.5	6153.5	6391.7	6320.4	6304.8
144.5	6187.1	6437.6	6361.7	6345.5
145.5	6222	6483.2	6402.7	6386.4
146.5	6256	6528.9	6443.7	6427.3
147.5	6290.6	6574.4	6484.7	6468.2
148.5	6325.5	6619.5	6525.7	6509
149.5	6360.3	6665.8	6567.1	6550
150.5	6388.8	6696.6	6596.9	6579.9
151.5	6412.3	6713.4	6615.5	6599
152.5	6434.8	6728.3	6634.1	6618
153.5	6457.7	6744.8	6652.7	6637
154.5	6481.1	6760.4	6670.9	6655.9
155.5	6503.7	6777	6689.2	6674.9
156.5	6526.1	6794.5	6707.5	6693.9
157.5	6548.8	6810.5	6726	6712.9
158.5	6571.1	6827.9	6744.3	6731.8
159.5	6593.6	6845.2	6762.5	6750.9
160.5	6615.6	6862.4	6781.1	6769.8
161.5	6637.6	6880.5	6799.6	6788.9
162.5	6659.5	6897.8	6818	6807.8
163.5	6681.7	6916.1	6836.4	6826.7
164.5	6702.6	6935.3	6855.2	6845.7
165.5	6724.8	6953.3	6873.6	6864.8
166.5	6745.4	6972.8	6892.3	6883.6
167.5	6766.2	6991.9	6910.7	6902.7
168.5	6786.9	7010.3	6929.4	6921.6
169.5	6807.9	7028.9	6947.8	6940.6
170.5	6828.4	7047.2	6966.3	6959.5
171.5	6849	7066.4	6984.8	6978.5
172.5	6870.5	7085.8	7003.4	6997.5
173.5	6891.5	7105.7	7021.6	7016.4
174.5	6912.1	7126.9	7040.4	7035.5
175.5	6933.1	7145.9	7058.9	7054.6
176.5	6951.9	7166.8	7077.3	7073.6
177.5	6973.7	7186.5	7095.9	7092.6
178.5	6992.7	7207.7	7114.2	7111.6
179.5	7013	7229	7132.6	7130.6
180.5	7032.6	7249.6	7151.1	7149.7
181.5	7051.9	7269.8	7169.7	7168.6
182.5	7070.9	7290.3	7188.5	7187.6
183.5	7089.2	7311.9	7207	7206.7
184.5	7107.9	7333.6	7225.7	7225.9
185.5	7125.3	7355.2	7244.5	7244.8
186.5	7142.8	7376.2	7263.8	7263.8
187.5	7160.8	7397.3	7282.2	7282.8
188.5	7178.4	7418.9	7301.4	7301.9
189.5	7193.8	7440.6	7320.4	7320.9
190.5	7211.5	7462.1	7339.9	7339.9
191.5	7228.2	7483.5	7358.9	7359
192.5	7244.5	7505.5	7377.7	7378
196.5	7309.4	7592	7453.6	7454.2
201.5	7382.6	7680.2	7532.2	7533
206.5	7432.8	7714.4	7572.4	7572.9
211.5	7478.9	7753.5	7611.1	7612.8
215.5	7510.6	7788.3	7643.4	7645.1
218.5	7531	7815.3	7666.7	7668.9
221.5	7550.3	7845.4	7690.8	7692.8
226.5	7577.8	7899.3	7728.4	7732.6
230.5	7598.3	7944.1	7759	7764.3
234.5	7616.1	7990.8	7790.2	7796.4
238.5	7635.4	8038.8	7820.7	7828.1
