depth	min	max	median	wmean
172.5	6871.5	7085.7	7004.3	6998.2
173.5	6891.7	7105.6	7022.5	7017
174.5	6912.1	7125.5	7041	7036
175.5	6932.3	7146.2	7059.3	7054.9
176.5	6953.1	7166.5	7077.9	7073.8
177.5	6972.1	7187.2	7096.3	7092.7
178.5	6991.6	7207.6	7114.5	7111.6
179.5	7010.7	7228	7133.1	7130.6
180.5	7030.8	7248.9	7151.3	7149.5
181.5	7051.3	7270.6	7169.8	7168.5
182.5	7069.9	7291.9	7188	7187.3
183.5	7088.5	7312.6	7206.3	7206.2
184.5	7107.2	7334.4	7225.2	7225.3
185.5	7124.6	7355.5	7243.8	7244
186.5	7142.2	7377.4	7262.8	7263
187.5	7159.3	7399.4	7281.8	7282
188.5	7177.3	7420.9	7300.3	7301
189.5	7195.3	7442.4	7319	7319.8
190.5	7212.4	7463.5	7337.7	7338.6
191.5	7227.8	7485.8	7356.7	7357.5
192.5	7245.2	7507.7	7375.6	7376.6
196.5	7309.2	7595.7	7450.8	7452.4
201.5	7384.4	7681.6	7528.7	7530.8
206.5	7432.6	7711.8	7569.5	7570.8
211.5	7476.4	7748.8	7609.5	7610.6
215.5	7507.4	7782	7642.1	7642.5
218.5	7525.5	7808.4	7666.2	7666.6
221.5	7540.7	7838.3	7688.7	7690.6
226.5	7567.4	7890.5	7727.9	7730.9
230.5	7587.9	7936.5	7758.5	7762.9
234.5	7609.1	7981.1	7789.5	7794.8
238.5	7627	8027	7820.1	7826.6
