latin,common
Abies,Fir
Acer,Maple
Alnus,Other.hardwood
Betula,Birch
Carya,Hickory
Corylus,Other.hardwood
Cupressaceae.Taxaceae,Cedar.juniper
Cyperaceae,omit
Fagus,Beech
Fraxinus,Ash
Juglans,Walnut
Larix,Tamarack
Ostrya.Carpinus,Ironwood
Other,Other.hardwood
Picea,Spruce
Pinus,Pine
Platanus,Other.hardwood
Poaceae,omit
Populus,Poplar.tulip.poplar
Prairie.Forbs,omit
Quercus,Oak
Salix,Other.hardwood
Tilia,Basswood
Tsuga,Hemlock
Ulmus,Elm
Liquidambar,Poplar.tulip.poplar
