SITE,PLOT,SUB,TAG,TREEID,NUM,SPP,X,Y,DATE11,DBH11,DBH12,DATE_CORE_COLLECTED11,DATE12,DATE_CORE_COLLECT12,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
H,6,A,1535,H6A1535,1,TSCA,3.3,10.4,7/10/11,193,198,7/10/11,7/2/12,7/2/12,3.062,4.652,2.998,3.696,3.696,3.508,5.738,6.018,7.264,4.72,4.81,5.152,5,4.08,3.856,4.094,4.872,3.848,4.578,3.832,4.174,2.318,2.828,3.216,3.802,2.902,3.534,3.466,3.68,3.532
H,6,A,1536,H6A1536,1,QURU,3.8,10.8,7/10/11,259.5,243,7/10/11,7/2/12,7/2/12,1.962,1.592,1.786,2.954,2.672,3.414,2.684,3.47,2.842,2.41,2.36,2.47,2.74,2.65,2.614,1.974,2.77,1.828,2.25,3.278,2.498,2.248,2.904,2.652,1.508,3.118,3.494,3.09,3.078,3.01
H,6,B,1540,H6B1540,1,ACRU,10.5,14.3,7/10/11,520.5,521,7/10/11,7/2/12,7/2/12,6.732,7.832,3.514,1.994,5.494,4.15,4.996,3.536,5.706,3.432,4.216,3.654,4.368,3.088,7.854,6.256,6.616,7.636,2.41,4.036,3.442,3.458,2.802,1.66,1.942,1.798,1.842,2.938,2.488,3.1
H,6,B,1541,H6B1541,1,ACRU,10.9,9.4,7/10/11,295,284,7/10/11,7/2/12,7/2/12,4.774,8.41,3.162,4.836,3.368,4.118,4.902,3.776,3.61,2.634,3.066,2.182,1.996,3.1,2.814,3.278,2.808,2.494,1.776,1.836,1.126,1.69,1.446,1.724,1.748,1.762,1.946,1.762,1.142,1.212
H,6,B,1542,H6B1542,1,QURU,8.9,9,7/10/11,210.5,214,7/10/11,7/2/12,7/2/12,1.714,2.724,2.784,3.174,2.476,3.74,2.404,2.916,3.288,3.216,2.41,1.648,2.918,3.872,2.158,2.602,2.858,2.666,1.83,2.918,3.158,2.788,2.792,6.776,3.3,3.682,5.196,3.532,3.278,1.826
H,6,B,1545,H6B1545,1,QURU,5.3,14.2,7/10/11,152,153,7/10/11,7/2/12,7/2/12,2.692,2.694,2.492,1.568,1.304,1.414,0.8,1.24,1.07,0.942,1.416,1.068,0.986,0.924,1.138,1.45,1.188,0.744,0.752,0.618,1.064,0.918,0.994,1.058,1.19,0.99,0.938,0.94,1.254,1.77
H,6,B,1548,H6B1548,1,ACRU,2.5,9,7/10/11,222,202,7/10/11,7/2/12,7/2/12,5,5.822,5.898,6.356,5.216,5.388,1.646,1.994,3.982,4.102,5.056,3.616,2.694,1.808,4.534,1.682,1.84,1.682,1.14,1.112,1.236,2.096,3.678,1.366,1.142,1.11,0.792,1.236,1.2,1.3
H,6,B,1550,H6B1550,1,TSCA,5,8.5,7/10/11,162,169,7/10/11,7/2/12,7/2/12,5.106,4.464,3.55,3.724,3.202,3.826,2.902,3.938,2.86,2.582,4.258,4.396,3.548,3.028,3.16,3.468,3.538,4.846,3.788,4.594,3.632,4.3,3.424,3.282,2.998,2.954,5.84,1.824,3.308,4.794
H,6,B,1552,H6B1552,1,BEAL2,5,6.8,7/10/11,151,154,7/10/11,7/2/12,7/2/12,0.934,0.992,2.356,2.162,3.344,0.766,0.888,1.55,1.946,2.378,1.996,2.76,2.54,2.64,2.378,1.734,2.148,2.166,2.718,0.828,1.518,2.11,2.916,2.916,3.324,3.812,3.52,2.654,0.89,1.318
H,6,B,1555,H6B1555,1,ACRU,6.2,5,7/10/11,252,253,7/10/11,7/2/12,7/2/12,4.546,3.474,2.94,3.474,3.012,3.55,2.968,3.478,2.48,2.77,2.864,3.18,2.136,2.144,1.514,1.032,1.82,1.03,1.094,1.128,1.34,1.034,2.244,1.99,2.188,2.106,1.498,3.12,3.268,2.266
